GroupName, PermissionId, PermissionName, Comment
DTPW MM Incident Logger,15108,,Not found in AuthGroups.json (from AuthGroups2.json)
DTPW MM Incident Logger,15109,,Not found in AuthGroups.json (from AuthGroups2.json)
DTPW MM Incident Logger,15110,,Not found in AuthGroups.json (from AuthGroups2.json)
DTPW MM Incident Logger,15111,,Not found in AuthGroups.json (from AuthGroups2.json)
DTPW MM Incident Logger,15112,,Not found in AuthGroups.json (from AuthGroups2.json)
DTPW MM Incident Logger,15113,,Not found in AuthGroups.json (from AuthGroups2.json)
DTPW MM Super User,15108,,Not found in AuthGroups.json (from AuthGroups2.json)
DTPW MM Super User,15109,,Not found in AuthGroups.json (from AuthGroups2.json)
DTPW MM Super User,15110,,Not found in AuthGroups.json (from AuthGroups2.json)
DTPW MM Super User,15111,,Not found in AuthGroups.json (from AuthGroups2.json)
DTPW MM Super User,15112,,Not found in AuthGroups.json (from AuthGroups2.json)
DTPW MM Super User,15113,,Not found in AuthGroups.json (from AuthGroups2.json)
DTPW MM System Admin,15108,,Not found in AuthGroups.json (from AuthGroups2.json)
DTPW MM System Admin,15109,,Not found in AuthGroups.json (from AuthGroups2.json)
DTPW MM System Admin,15110,,Not found in AuthGroups.json (from AuthGroups2.json)
DTPW MM System Admin,15111,,Not found in AuthGroups.json (from AuthGroups2.json)
DTPW MM System Admin,15112,,Not found in AuthGroups.json (from AuthGroups2.json)
DTPW MM System Admin,15113,,Not found in AuthGroups.json (from AuthGroups2.json)
DTPW Resource Manager,15104,,Not found in AuthGroups.json (from AuthGroups2.json)
DTPW Resource Manager,15105,,Not found in AuthGroups.json (from AuthGroups2.json)
DTPW Resource Manager,15106,,Not found in AuthGroups.json (from AuthGroups2.json)
DTPW Resource Manager,15108,,Not found in AuthGroups.json (from AuthGroups2.json)
DTPW Resource Manager,15109,,Not found in AuthGroups.json (from AuthGroups2.json)
DTPW Resource Manager,15110,,Not found in AuthGroups.json (from AuthGroups2.json)
DTPW Resource Manager,15111,,Not found in AuthGroups.json (from AuthGroups2.json)
DTPW Resource Manager,15112,,Not found in AuthGroups.json (from AuthGroups2.json)
DTPW Resource Manager,15113,,Not found in AuthGroups.json (from AuthGroups2.json)
DTPW Resource Manager,15115,,Not found in AuthGroups.json (from AuthGroups2.json)
DTPW Resource Manager,20097,RMTimeManagementEdit,Not found in AuthGroups.json (from AuthGroups2.json)
DTPW Resource Manager,20098,RMTimeManagementAdd,Not found in AuthGroups.json (from AuthGroups2.json)
DTPW Resource Manager,20099,RMTimeManagementView,Not found in AuthGroups.json (from AuthGroups2.json)
PCS HS - Super User,15108,,Not found in AuthGroups.json (from AuthGroups2.json)
PCS HS - Super User,15109,,Not found in AuthGroups.json (from AuthGroups2.json)
PCS HS - Super User,15110,,Not found in AuthGroups.json (from AuthGroups2.json)
PCS HS - Super User,15111,,Not found in AuthGroups.json (from AuthGroups2.json)
PCS HS - Super User,15112,,Not found in AuthGroups.json (from AuthGroups2.json)
PCS HS - Super User,15113,,Not found in AuthGroups.json (from AuthGroups2.json)
PCS3 System Admin (DPO),16314,PCS2SetupAdministrationAccess,Not found in AuthGroups2.json (from AuthGroups.json)
PCS3 System Admin (DPO),15081,PCS2ProjectEBSPortalAccess,Not found in AuthGroups.json (from AuthGroups2.json)
PCS3 System Admin (DPO),16172,PCS2ProjectDocumentsandPhotosLimitedAccess,Not found in AuthGroups.json (from AuthGroups2.json)
Resource Manager Administration,20099,RMTimeManagementView,Not found in AuthGroups2.json (from AuthGroups.json)
Resource Manager Administration,15110,,Not found in AuthGroups.json (from AuthGroups2.json)
Resource Manager PMO,15110,,Not found in AuthGroups.json (from AuthGroups2.json)
Resource Manager PMO,15113,,Not found in AuthGroups.json (from AuthGroups2.json)
Resource Manager PMO Admin,15113,,Not found in AuthGroups.json (from AuthGroups2.json)
Resource Manager Super User,15108,,Not found in AuthGroups.json (from AuthGroups2.json)
Resource Manager Super User,15109,,Not found in AuthGroups.json (from AuthGroups2.json)
Resource Manager Super User,15110,,Not found in AuthGroups.json (from AuthGroups2.json)
Resource Manager Super User,15111,,Not found in AuthGroups.json (from AuthGroups2.json)
Resource Manager Super User,15112,,Not found in AuthGroups.json (from AuthGroups2.json)
Resource Manager Super User,15113,,Not found in AuthGroups.json (from AuthGroups2.json)
Resource Manager Super User,15115,,Not found in AuthGroups.json (from AuthGroups2.json)
Resource Manager System Admin (DPO),15108,,Not found in AuthGroups.json (from AuthGroups2.json)
Resource Manager System Admin (DPO),15109,,Not found in AuthGroups.json (from AuthGroups2.json)
Resource Manager System Admin (DPO),15110,,Not found in AuthGroups.json (from AuthGroups2.json)
Resource Manager System Admin (DPO),15111,,Not found in AuthGroups.json (from AuthGroups2.json)
Resource Manager System Admin (DPO),15112,,Not found in AuthGroups.json (from AuthGroups2.json)
Resource Manager System Admin (DPO),15113,,Not found in AuthGroups.json (from AuthGroups2.json)
Resource Manager System Admin (DPO),15115,,Not found in AuthGroups.json (from AuthGroups2.json)
Test - Warning Letters and Payment Certificates,0,,Group not found in AuthGroups.json (from AuthGroups2.json)
